"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","ALOX12",0.330713937198482,0.369297004873746,0.539885887790724,"pseudobulk","edgeR","LRT"
"GluN","ALOX12-AS1",-0.434109782826959,0.0631244859137456,0.158834694988006,"pseudobulk","edgeR","LRT"
"GluN","ALOX12B",0.119554778647984,0.815147729673816,0.891058806373497,"pseudobulk","edgeR","LRT"
"GluN","ALOX15",-3.43103633965463,1.64893439615448e-08,5.61066500648416e-07,"pseudobulk","edgeR","LRT"
"GluN","ALOX15B",5.11667992014518,0.000378156440188352,0.00287344845569439,"pseudobulk","edgeR","LRT"
"GluN","ALOX5",0.0974633197717376,0.817975362216122,0.892981777090958,"pseudobulk","edgeR","LRT"
"GluN","ALOX5AP",1.33990437454285,0.0461655435325067,0.125685549604878,"pseudobulk","edgeR","LRT"
"GluN","ALOXE3",-0.188872762816843,0.679742042597347,0.799252517299711,"pseudobulk","edgeR","LRT"
"GluN","ALPK1",-0.348302660439815,0.311582404424839,0.481005784490169,"pseudobulk","edgeR","LRT"
"GluN","ALPK2",-0.179114418231363,0.705276089109564,0.817560443719804,"pseudobulk","edgeR","LRT"
"GluN","ALPK3",1.44794268718397,0.0131133640114037,0.0482864317281626,"pseudobulk","edgeR","LRT"
"GluN","ALPL",1.36676945988832,0.00364108338073882,0.0175645579679914,"pseudobulk","edgeR","LRT"
"GluN","ALPP",4.64438680349599,0.00339232866379748,0.0166378963493232,"pseudobulk","edgeR","LRT"
"GluN","ALS2",-0.540476284601642,0.0283818782913824,0.0862987099018614,"pseudobulk","edgeR","LRT"
"GluN","ALS2CL",-0.0946088239686517,0.864702737993083,0.921568982032227,"pseudobulk","edgeR","LRT"
"GluN","ALX1",3.12795430634489,0.0722036790446004,0.170188274625679,"pseudobulk","edgeR","LRT"
"GluN","ALX3",1.42532393443479,0.00124766734613807,0.00759015924224239,"pseudobulk","edgeR","LRT"
"GluN","ALX4",0.568908791645064,0.217179304134557,0.377583332969474,"pseudobulk","edgeR","LRT"
"GluN","ALYREF",1.32255451871295,0.000453003274651866,0.00334411203588467,"pseudobulk","edgeR","LRT"
"GluN","AMACR",-0.463365102584604,0.213343877526117,0.372801681033538,"pseudobulk","edgeR","LRT"
"GluN","AMBN",0.867524479861315,0.451512881848068,0.615245910636139,"pseudobulk","edgeR","LRT"
