"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","IL6R",-3.03869627061657,1.11272052713248e-14,1.38349747798911e-12,"pseudobulk","edgeR","LRT"
"GluN","AC110760.1",-3.03756026658504,2.43233891063526e-10,1.31812250104461e-08,"pseudobulk","edgeR","LRT"
"GluN","AL049647.1",-3.03696891014254,1.07025083316075e-08,3.87337845545912e-07,"pseudobulk","edgeR","LRT"
"GluN","KIAA1211L",-3.03612571222729,1.95978332703234e-19,5.54402925587544e-17,"pseudobulk","edgeR","LRT"
"GluN","AC025809.1",-3.01799003531808,3.47247739932611e-16,5.54786738902697e-14,"pseudobulk","edgeR","LRT"
"GluN","AC133565.1",-3.01778682638291,1.26051022345901e-09,5.77530947107856e-08,"pseudobulk","edgeR","LRT"
"GluN","PDZRN4",-3.0131646804598,2.21526006401521e-10,1.21327786987405e-08,"pseudobulk","edgeR","LRT"
"GluN","CLEC2L",-3.00486749939797,6.30297804670818e-21,2.37015034232008e-18,"pseudobulk","edgeR","LRT"
"GluN","MYO1E",-3.00294811829521,1.70760759814357e-19,4.87537780451454e-17,"pseudobulk","edgeR","LRT"
"GluN","AL512662.2",-2.99096350296069,2.86316887993527e-22,1.37946581895006e-19,"pseudobulk","edgeR","LRT"
"GluN","GABRA1",-2.98043984014487,9.47897110435183e-10,4.44876824966041e-08,"pseudobulk","edgeR","LRT"
"GluN","IQGAP2",-2.97942346099662,2.09849621725989e-14,2.50802832787631e-12,"pseudobulk","edgeR","LRT"
"GluN","LGI1",-2.97055176736173,2.38109847880002e-17,4.76760854505186e-15,"pseudobulk","edgeR","LRT"
"GluN","SLC24A3",-2.96513361255947,1.23105695686688e-18,3.01266994166588e-16,"pseudobulk","edgeR","LRT"
"GluN","KCNK1",-2.95393305085922,8.64306044606612e-14,9.4506655622145e-12,"pseudobulk","edgeR","LRT"
"GluN","THBS2",-2.95298191392782,2.93216063102036e-18,6.84948280738734e-16,"pseudobulk","edgeR","LRT"
"GluN","AL358154.1",-2.94595764128613,3.19719383119896e-07,7.45729741187745e-06,"pseudobulk","edgeR","LRT"
"GluN","SHC4",-2.93815460965404,1.04191959936207e-21,4.5896558351899e-19,"pseudobulk","edgeR","LRT"
"GluN","AC018742.1",-2.93744092413021,4.0437740320113e-06,6.6008349537887e-05,"pseudobulk","edgeR","LRT"
"GluN","NPAS2",-2.9328425726259,1.38812366857679e-23,8.73526394297253e-21,"pseudobulk","edgeR","LRT"
"GluN","SLC12A8",-2.91250830791913,1.51243185803351e-21,6.4771994920088e-19,"pseudobulk","edgeR","LRT"
"GluN","MAN1A1",-2.90766889728904,7.61147635516089e-17,1.38875664740465e-14,"pseudobulk","edgeR","LRT"
"GluN","NRXN3",-2.90383473664207,2.42796258707657e-08,7.92235199709057e-07,"pseudobulk","edgeR","LRT"
"GluN","AC004594.1",-2.90246224769121,1.7731568424105e-08,5.93651370637652e-07,"pseudobulk","edgeR","LRT"
"GluN","GABRA5",-2.90070634536581,1.19414335836729e-22,6.34851904400953e-20,"pseudobulk","edgeR","LRT"
"GluN","STAMBPL1",-2.89414648718876,4.16431133905397e-21,1.62539924227505e-18,"pseudobulk","edgeR","LRT"
"GluN","TRANK1",-2.89326802503179,4.97306495327617e-08,1.46741107975379e-06,"pseudobulk","edgeR","LRT"
"GluN","PKN2-AS1",-2.89066215043448,3.36850764349073e-08,1.04494902602652e-06,"pseudobulk","edgeR","LRT"
"GluN","AL109930.1",-2.8829612253006,2.75808808260578e-07,6.54700893203612e-06,"pseudobulk","edgeR","LRT"
"GluN","AC096576.6",-2.87107128422008,3.38311618263266e-14,3.84938699230547e-12,"pseudobulk","edgeR","LRT"
"GluN","THRB",-2.87048798913538,2.29302746759684e-14,2.72994216074705e-12,"pseudobulk","edgeR","LRT"
"GluN","AC026991.2",-2.86804097884071,1.85075124678076e-08,6.16950429129564e-07,"pseudobulk","edgeR","LRT"
"GluN","ELOVL7",-2.86681850145916,1.1207266270005e-16,1.94143851368317e-14,"pseudobulk","edgeR","LRT"
"GluN","LOXL1",-2.86417084705041,2.47218091484753e-13,2.44325956760653e-11,"pseudobulk","edgeR","LRT"
"GluN","ADCYAP1",-2.86276168091675,0.00141106257684122,0.00838972870883348,"pseudobulk","edgeR","LRT"
"GluN","DNAJA4",-2.86245941069175,2.5144636452161e-14,2.9368744886454e-12,"pseudobulk","edgeR","LRT"
"GluN","AC025569.1",-2.84993186872359,2.89573680623079e-11,1.96674106652261e-09,"pseudobulk","edgeR","LRT"
"GluN","IPCEF1",-2.842572567532,2.19469783419419e-19,6.15213706521618e-17,"pseudobulk","edgeR","LRT"
"GluN","SCG2",-2.83064460568391,3.14276543782463e-06,5.35990997098022e-05,"pseudobulk","edgeR","LRT"
"GluN","CHRM2",-2.82576990821647,1.9456434322351e-08,6.45232832166351e-07,"pseudobulk","edgeR","LRT"
"GluN","AC092353.2",-2.82016084077793,4.36254965684249e-08,1.30601183173532e-06,"pseudobulk","edgeR","LRT"
"GluN","PCOLCE2",-2.80735234934309,6.05062934782101e-15,7.70955189834963e-13,"pseudobulk","edgeR","LRT"
"GluN","HECTD2",-2.80639971784784,3.68664326330355e-20,1.13677645023965e-17,"pseudobulk","edgeR","LRT"
"GluN","NETO1",-2.8060775986923,1.65358572396013e-10,9.51274548475945e-09,"pseudobulk","edgeR","LRT"
"GluN","SORCS2",-2.79972553966094,3.63141844089666e-20,1.13105846085908e-17,"pseudobulk","edgeR","LRT"
"GluN","LINC02254",-2.79706207117255,2.69751859444007e-11,1.84430123857116e-09,"pseudobulk","edgeR","LRT"
"GluN","HNMT",-2.78968838766624,2.91453523570201e-12,2.31027490984246e-10,"pseudobulk","edgeR","LRT"
"GluN","ADCY2",-2.78514289530094,5.41372465501355e-13,5.02807830534165e-11,"pseudobulk","edgeR","LRT"
"GluN","AC007785.3",-2.78121136987441,3.84110269625188e-08,1.169204359713e-06,"pseudobulk","edgeR","LRT"
"GluN","CCKBR",-2.77862919849352,4.60002513820017e-18,1.0353414243533e-15,"pseudobulk","edgeR","LRT"
"GluN","AL031599.1",-2.77527503147466,5.94008640236321e-06,9.1627095656263e-05,"pseudobulk","edgeR","LRT"
"GluN","GREM2",-2.77454954600412,2.03984663746404e-17,4.11102425269305e-15,"pseudobulk","edgeR","LRT"
"GluN","CACNG3",-2.773283634853,1.05007368190638e-13,1.13610603444152e-11,"pseudobulk","edgeR","LRT"
"GluN","ACVR1C",-2.77225263572494,4.44450145304204e-14,4.96544211248374e-12,"pseudobulk","edgeR","LRT"
"GluN","GLB1L3",-2.77221694298989,5.11214769876839e-13,4.80588641132693e-11,"pseudobulk","edgeR","LRT"
"GluN","PRICKLE1",-2.77100571662037,4.37224031726682e-15,5.78618155291512e-13,"pseudobulk","edgeR","LRT"
"GluN","BDNF",-2.76823977719292,3.71487817888546e-08,1.13752004613638e-06,"pseudobulk","edgeR","LRT"
"GluN","KCNQ5-AS1",-2.76426557816796,1.61608473792849e-11,1.1452398094208e-09,"pseudobulk","edgeR","LRT"
"GluN","AC027251.1",-2.76226454828776,1.65268320858674e-07,4.18051572902151e-06,"pseudobulk","edgeR","LRT"
"GluN","GRAMD1C",-2.7569215097616,9.61298425481958e-18,2.00281330741461e-15,"pseudobulk","edgeR","LRT"
"GluN","SLC36A1",-2.75662124295894,1.73943620191548e-28,2.23481313691932e-25,"pseudobulk","edgeR","LRT"
"GluN","MBP",-2.74230990213886,1.06410567515443e-09,4.95644992347232e-08,"pseudobulk","edgeR","LRT"
"GluN","ADCY8",-2.74109349603297,3.72241734666497e-07,8.4834248990698e-06,"pseudobulk","edgeR","LRT"
"GluN","INSYN2A",-2.74089398675607,1.26629133656976e-23,8.1346027839851e-21,"pseudobulk","edgeR","LRT"
"GluN","COL9A3",-2.73977622962258,1.92226173498951e-05,0.000247796574408033,"pseudobulk","edgeR","LRT"
"GluN","HRH1",-2.73482202929029,1.28965939549808e-16,2.2092581922324e-14,"pseudobulk","edgeR","LRT"
"GluN","LRRK1",-2.73223394692524,1.34720201024586e-15,1.95028046882305e-13,"pseudobulk","edgeR","LRT"
"GluN","LINC02232",-2.72886104807419,1.29285932202083e-12,1.11667555166701e-10,"pseudobulk","edgeR","LRT"
"GluN","DRP2",-2.72805506566289,0.000249565348643824,0.00206143785840673,"pseudobulk","edgeR","LRT"
"GluN","RIMS2",-2.72309466305682,4.26410362730207e-09,1.72550702556246e-07,"pseudobulk","edgeR","LRT"
"GluN","SIDT1",-2.71852869664229,5.24389221380296e-18,1.16327637706917e-15,"pseudobulk","edgeR","LRT"
"GluN","AC005225.2",-2.71852644002544,1.38029906487921e-12,1.18555770656129e-10,"pseudobulk","edgeR","LRT"
"GluN","PARM1",-2.70747277196086,2.47766283862816e-12,2.01049299023946e-10,"pseudobulk","edgeR","LRT"
"GluN","RASAL1",-2.70638670504343,1.66014258452946e-08,5.63151777711396e-07,"pseudobulk","edgeR","LRT"
"GluN","LMCD1-AS1",-2.7060720142636,6.27877272734341e-13,5.77928229992938e-11,"pseudobulk","edgeR","LRT"
"GluN","ETV5",-2.7045155366946,6.2989062024492e-13,5.78055871287265e-11,"pseudobulk","edgeR","LRT"
"GluN","STXBP5L",-2.70420345084428,1.09522864803304e-20,3.88176728299987e-18,"pseudobulk","edgeR","LRT"
"GluN","MICAL2",-2.70321029843794,1.70545696137153e-20,5.59444312807354e-18,"pseudobulk","edgeR","LRT"
"GluN","MLIP",-2.7019570958215,1.79702053567068e-20,5.83275033867425e-18,"pseudobulk","edgeR","LRT"
"GluN","GABRG3",-2.69491725670921,2.70233495399444e-14,3.12084263319919e-12,"pseudobulk","edgeR","LRT"
"GluN","KLF9",-2.68641005134864,1.65716590758964e-10,9.51558859600123e-09,"pseudobulk","edgeR","LRT"
"GluN","LINC02755",-2.68552554465651,6.65680261219343e-10,3.26851128259529e-08,"pseudobulk","edgeR","LRT"
"GluN","CA10",-2.68171973741218,0.000150829183710276,0.00136708344494602,"pseudobulk","edgeR","LRT"
"GluN","PWRN1",-2.67503595648044,4.20449555119333e-09,1.70362181762216e-07,"pseudobulk","edgeR","LRT"
"GluN","SLC24A2",-2.66833990961157,1.43745814005855e-21,6.24281996460638e-19,"pseudobulk","edgeR","LRT"
"GluN","NRGN",-2.6624663639394,9.49043986933815e-16,1.4001804467514e-13,"pseudobulk","edgeR","LRT"
"GluN","SLC7A8",-2.65810564198663,6.7879979828302e-10,3.31708269097574e-08,"pseudobulk","edgeR","LRT"
"GluN","AC008056.2",-2.648356589872,1.70260299218852e-09,7.53224724019125e-08,"pseudobulk","edgeR","LRT"
"GluN","TTC6",-2.64719913589055,3.32886441461457e-10,1.73095335960608e-08,"pseudobulk","edgeR","LRT"
"GluN","PGLYRP1",-2.64326386599081,8.13301436769825e-08,2.25522929881273e-06,"pseudobulk","edgeR","LRT"
"GluN","FAM81A",-2.63311705815738,1.38561483871467e-19,3.99303117306234e-17,"pseudobulk","edgeR","LRT"
"GluN","GRASP",-2.6313864133239,3.92474525312599e-08,1.19033517553891e-06,"pseudobulk","edgeR","LRT"
"GluN","KLHL4",-2.62773059315482,5.6882196590193e-12,4.29892777416324e-10,"pseudobulk","edgeR","LRT"
"GluN","PRB2",-2.6237318053069,6.35664746547361e-09,2.44398035658203e-07,"pseudobulk","edgeR","LRT"
"GluN","AC007319.1",-2.61972957415448,4.66151887008088e-06,7.47467157352803e-05,"pseudobulk","edgeR","LRT"
"GluN","TGFA",-2.61810107880449,3.37007807224189e-07,7.78399680581114e-06,"pseudobulk","edgeR","LRT"
"GluN","SLC22A15",-2.6101219344319,7.7452388093417e-13,6.96281162350004e-11,"pseudobulk","edgeR","LRT"
"GluN","ARMC3",-2.60889946537703,6.17853858874423e-12,4.64671310692508e-10,"pseudobulk","edgeR","LRT"
"GluN","AC002460.2",-2.60551828144793,1.0876265508499e-16,1.89474376810489e-14,"pseudobulk","edgeR","LRT"
"GluN","HYMAI",-2.60521890289396,3.86174311932318e-07,8.73637924316437e-06,"pseudobulk","edgeR","LRT"
"GluN","LUZP2",-2.60087108448994,5.51683569259116e-08,1.60482668472687e-06,"pseudobulk","edgeR","LRT"
"GluN","LINC00598",-2.58854295281983,1.59671793620775e-10,9.23729785421502e-09,"pseudobulk","edgeR","LRT"
"GluN","CREG2",-2.58465387351055,6.84666194172673e-07,1.43370415330366e-05,"pseudobulk","edgeR","LRT"
"GluN","AL022323.1",-2.57244479563983,3.53429347323401e-11,2.33361754276597e-09,"pseudobulk","edgeR","LRT"
"GluN","PEX5L-AS1",-2.56085223823521,7.72927342460948e-07,1.58888097365222e-05,"pseudobulk","edgeR","LRT"
"GluN","ADAMTS8",-2.55953756241257,2.58834138940942e-11,1.77358903872088e-09,"pseudobulk","edgeR","LRT"
"GluN","ETS2",-2.54757930908445,3.17052452732291e-13,3.09376974050639e-11,"pseudobulk","edgeR","LRT"
"GluN","SPARCL1",-2.54393929697188,3.33801216661735e-10,1.73278796561694e-08,"pseudobulk","edgeR","LRT"
"GluN","STXBP5-AS1",-2.53645080352154,4.60032504799087e-09,1.83983168423863e-07,"pseudobulk","edgeR","LRT"
"GluN","DLC1",-2.52728452790883,3.3333596159881e-07,7.7223248504127e-06,"pseudobulk","edgeR","LRT"
"GluN","GRIK4",-2.52457696757526,1.41595119868547e-20,4.82908986657575e-18,"pseudobulk","edgeR","LRT"
"GluN","ANO3",-2.51864649973468,3.76964599767977e-07,8.58471450062451e-06,"pseudobulk","edgeR","LRT"
"GluN","PEX5L",-2.51699146751942,6.84030125434475e-16,1.04416182761248e-13,"pseudobulk","edgeR","LRT"
"GluN","CHRM3",-2.51539430100449,6.32912240944787e-08,1.82391111677874e-06,"pseudobulk","edgeR","LRT"
"GluN","RAPGEF5",-2.51347139145059,1.99930545141214e-21,8.33088967490452e-19,"pseudobulk","edgeR","LRT"
"GluN","AL596218.1",-2.50552837290629,5.37882108158659e-06,8.44910586096396e-05,"pseudobulk","edgeR","LRT"
"GluN","TECTA",-2.50390615996245,3.56044617853402e-15,4.77331990935202e-13,"pseudobulk","edgeR","LRT"
"GluN","INHBA",-2.50134029991766,1.7308627479378e-11,1.22130784514101e-09,"pseudobulk","edgeR","LRT"
