Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
AL357873.1,51.8465445,44.46946075,82.77433841,49.41152073,30.50328551,28.24914827
KAZN-AS1,33.62383611,30.03132414,60.79885034,31.24328464,20.84318653,18.43464639
AL031293.1,89.58518573,25.60362892,30.03316703,39.9093052,18.44991877,22.0177185
TMEM51-AS1,9.287702983,7.700339523,8.05767896,5.701329315,2.958949237,4.465857999
TMEM51,7.524215074,5.197729178,10.25522777,4.180974831,4.830049489,4.413929417
C1orf195,2.704014792,0.770033952,1.465032538,1.330310173,1.174876903,1.86942893
FHAD1,6.230990609,8.470373476,13.91780911,5.701329315,4.351395936,6.491072672
AL031283.2,0.705395163,0.577525464,2.197548807,1.140265863,0.957307106,1.921357511
AL031283.1,0.235131721,0,0,0.684159518,0.783251269,1.402071697
EFHD2,10.58092745,12.8980687,9.522711499,21.96912229,20.2339911,30.22243436
CTRC,0.117565861,1.155050929,0,0.114026586,0,0.36350007
CELA2A,1.528356187,2.310101857,0.732516269,0.608141794,0.783251269,0.882785883
CELA2B,7.994478517,10.20294987,13.18529284,9.95832187,9.399015222,13.03407393
CASP9,12.2268495,9.817932892,11.72026031,16.11575753,17.71018146,18.6942893
DNAJC16,32.80087509,30.99386658,32.96323211,35.04417085,38.24877028,41.64672227
AGMAT,5.408029585,5.00522069,7.325162691,4.7130989,3.307060912,5.192858138
AL121992.1,2.23375135,0.385016976,5.860130153,1.976460829,1.653530456,2.856071976
DDI2,27.04014792,21.36844218,24.17303688,30.86319602,28.8062411,26.69129083
PLEKHM2,35.38732402,43.50691831,42.48594361,56.36714249,42.12151266,59.92558291
AL450998.3,5.643161306,3.465152786,8.05767896,5.929382487,4.78653553,5.608286789
SLC25A34,4.232370979,5.967763131,3.662581346,7.107657212,4.09031218,6.127572603
SLC25A34-AS1,0.822961024,0.770033952,0,1.102257001,0.391625634,0.623142977
TMEM82,0.940526884,1.155050929,0,0.418097483,0.435139594,0.467357232
FBLIM1,30.44955788,33.68898542,27.10310196,48.00519283,30.98193907,40.50429348
UQCRHL,2.939146513,6.352780107,5.860130153,3.116726692,2.828407359,4.050429348
AL450998.2,19.28080113,24.2560695,15.38284165,22.91934384,16.18719288,24.87379048
SPEN,103.3403914,93.94414219,84.23937095,82.89732823,89.02956086,76.28308604
ZBTB17,21.86725006,27.72122228,26.37058569,31.66138213,18.97208628,22.53700432
CLCNKB,0,0.192508488,0,0,0,0.259642907
FAM131C,1.881053769,4.235186738,2.930065076,8.551993972,11.87931091,8.620144509
EPHA2,1.645922048,1.347559417,0.732516269,0.494115207,0.783251269,0.571214395
ARHGEF19,0.587829303,1.540067905,0,1.102257001,0.348111675,0.207714326
AL109627.1,0.705395163,1.540067905,2.197548807,0.72216838,0.565681472,0.778928721
CPLANE2,0.705395163,0.96254244,2.930065076,1.140265863,0.69622335,0.778928721
FBXO42,145.0762719,120.8953305,142.8406725,145.2318621,121.8390862,122.0321662
SZRD1,30.0968603,29.0687817,31.49819957,19.30850195,17.27504187,19.21357511
SPATA21,19.04566941,22.71600159,14.65032538,10.60447253,6.309524108,10.33378769
NECAP2,44.675027,29.45379868,45.41600869,40.36541155,28.24055963,34.48057804
LINC01772,28.80363583,14.63064509,17.58039046,16.3438107,15.3169137,17.08450327
AL137802.2,2.704014792,2.117593369,1.465032538,1.330310173,2.523809643,0.934714465
NBPF1,34.564363,30.41634112,25.63806942,28.77270861,25.76026394,17.18836044
CROCC,18.81053769,25.98864589,25.63806942,40.40342041,23.67159389,43.62000836
BX284668.5,0,0.192508488,0,0,0,1.038571628
BX284668.6,1.763487908,1.732576393,6.592646422,0.608141794,1.174876903,2.181000418
MFAP2,2.23375135,4.04267825,2.930065076,1.064248139,0.478653553,0.207714326
AL049569.1,55.13838859,48.12712202,67.39149676,63.93090605,52.08620936,64.75494098
ATP13A2,37.62107537,63.14278409,41.75342734,87.76246258,70.79721188,88.43437409
SDHB,36.21028505,31.57139205,24.90555315,33.75186954,38.50985404,36.09036406
PADI2,1.410790326,2.887627321,2.930065076,3.876903934,3.176519033,3.323429208
PADI4,1.998619629,2.502610345,0.732516269,0.19004431,0.174055837,0.311571488
RCC2,30.91982132,42.92939284,24.90555315,18.20624494,24.4113312,17.03257469
ARHGEF10L,51.25871519,45.2394947,65.19394795,89.85295,73.84318904,98.7162332
AL357509.1,0.117565861,0.96254244,0.732516269,0.228053173,0.348111675,0.467357232
IGSF21,67.48280395,106.0721769,55.67123645,172.6742605,157.0853933,87.81123111
IGSF21-AS1,8.347176098,2.695118833,5.127613884,17.18000567,13.75041116,7.425787137
AL591896.1,0.235131721,2.310101857,0,0.988230415,0.783251269,0.571214395
PAX7,3.644541677,3.272644297,8.05767896,0.456106345,0.435139594,1.402071697
ALDH4A1,3.644541677,3.657661274,3.662581346,3.496815313,3.481116749,2.284857581
IFFO2,5.995858887,10.39545836,11.72026031,24.02160085,17.79720938,28.40493401
AL137127.1,1.175658605,1.540067905,0,0.532124069,0.435139594,1.090500209
UBR4,68.89359428,88.74641301,73.25162691,88.750693,87.46305832,85.63023069
EMC1-AS1,56.78431064,31.95640902,52.74117138,40.32740269,34.07143018,37.0770071
EMC1,35.26975816,37.34664669,38.09084599,23.45146791,27.28325252,23.88714743
MRTO4,23.74830383,21.75345915,22.70800434,17.10398794,14.49014847,15.37086009
AKR7A3,0.822961024,2.695118833,1.465032538,1.216283587,1.131362943,1.557857441
AKR7A2,22.3375135,13.28308568,14.65032538,17.02797022,16.01313705,14.90350286
SLC66A1,7.171517493,10.58796684,9.522711499,7.867834454,6.440065986,8.516287346
CAPZB,111.9226992,117.4301777,95.95963125,125.5432715,103.6502512,119.955023
MICOS10,66.30714534,48.512139,48.34607376,31.35731123,44.60180835,31.57257748
AL031727.2,0.352697582,0,0.732516269,0.076017724,0.174055837,0.207714326
NBL1,12.34441536,25.60362892,7.325162691,20.33474122,21.71346572,12.09935946
HTR6,1.175658605,1.925084881,1.465032538,6.043409074,6.527093904,5.66021537
TMCO4,4.4675027,4.04267825,5.860130153,17.78814746,14.83826014,15.94207448
OTUD3,22.80777694,52.16980027,23.44052061,51.73006131,44.81937814,51.98050996
PLA2G5,1.175658605,0.770033952,1.465032538,12.69495994,41.42528931,12.93021676
PLA2G2C,0.235131721,0.577525464,0,1.102257001,0.739737309,1.246285953
UBXN10-AS1,0.822961024,0.385016976,0,0.836194966,1.653530456,1.14242879
