Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
PLEKHM2,9.552053362,11.74422757,10.25085613,14.69779818,10.69868657,14.92072288
AL450998.3,3.499080291,1.908745109,3.97386651,3.702778509,2.796373582,3.724826568
SLC25A34,1.906583187,3.795783152,1.528459418,2.373652408,1.195684996,1.785846355
SLC25A34-AS1,1.565077609,1.244829984,1.489616921,1.443518641,0.462666958,0.785590002
TMEM82,0.420035949,0.551244879,0.395785951,0.196686052,0.225369789,0.217425507
FBLIM1,2.584089925,3.049163165,1.356369643,7.468894019,5.164090591,5.985023118
UQCRHL,1.501378037,2.384775293,2.095850009,1.35616386,1.206987733,1.669468845
AL450998.2,9.239958615,10.44221508,8.883562112,11.84965859,7.101198814,11.17708658
SPEN,8.068269909,7.98370267,7.251362561,7.607104013,7.4686049,7.526893677
ZBTB17,4.495806236,6.056970261,4.005017781,7.497078525,4.608981301,5.971514639
CLCNKB,0,0.115993734,0,0,0,0.05337615
FAM131C,0.845737499,1.503023645,0.309909604,3.808991204,5.603488648,3.484028858
EPHA2,0.592792342,0.830104957,0.496505399,0.496904202,0.435505805,0.628853793
ARHGEF19,0.11200589,0.457480653,0.150770625,0.337164962,0.140485622,0.149086857
AL109627.1,0.273228493,0.661662476,0.400484237,0.213236644,0.16659139,0.235721268
CPLANE2,0.65463163,1.046829935,0.774070821,0.721265496,0.338093733,0.597989213
FBXO42,14.53888067,11.84724789,17.88564138,17.69727452,14.38020673,14.55367282
SZRD1,7.381476324,10.5020295,8.093463805,5.072453224,4.027544166,4.836516241
SPATA21,4.768456711,7.054914692,5.044505387,2.671684941,1.456569227,2.722465552
NECAP2,6.96863652,5.176485257,6.460936288,7.34870492,5.274378133,6.610852145
LINC01772,6.490720378,3.799512659,6.746656359,4.79589692,4.637377221,5.163014908
AL137802.2,2.757536004,1.38204966,1.50926376,1.491535893,2.210672744,0.678367583
NBPF1,2.910945088,2.824130483,2.032807463,2.866378696,2.650920275,1.865205332
CROCC,2.752260116,3.684341088,4.041271122,4.112029408,2.338503874,4.645193682
BX284668.5,0,0.106699713,0.089377015,0,0,0.500813626
BX284668.6,4.289832899,3.956476513,3.911774846,1.99795757,3.577429652,5.157452171
MFAP2,1.318606216,5.279511239,0.547533087,0.261631612,0.207125352,0.080981381
AL049569.1,46.50669726,30.91020222,38.55353439,77.6111254,63.26599647,77.20297737
ATP13A2,4.909586949,6.408609615,3.631330451,13.19224983,11.16052582,12.57846916
SDHB,14.52502054,11.04273771,12.32553329,14.04487802,15.01036689,13.5081116
PADI2,0.277801276,0.449805977,0.49496991,0.792325174,0.551869148,0.993525856
PADI4,0.673230961,0.793648698,0.961156391,0.087568655,0.049754996,0.063361496
RCC2,6.887297221,14.8904171,5.731260019,5.0967557,6.218747533,5.699559947
ARHGEF10L,8.557501064,7.125415281,17.08905611,12.94379804,9.708607174,12.42515429
AL357509.1,0.060219759,0.225802671,0.189143609,0.105744401,0.146867455,0.171445359
IGSF21,8.752950902,14.98650765,2.975167232,50.41441899,45.37499793,31.96413029
IGSF21-AS1,6.483987491,2.31234407,1.416729618,30.63694008,24.47658845,17.51134923
AL591896.1,0.432055307,1.735771807,0,1.541441807,1.144040639,0.766790241
PAX7,1.755692513,2.146130465,6.893780497,0.062115783,0.059375474,0.145409396
ALDH4A1,1.351736283,1.407925039,1.373285714,2.031736589,1.774516317,1.537626962
IFFO2,0.946589996,1.641356383,1.066015095,3.88131068,2.880365758,4.844031991
AL137127.1,0.240520585,0.442582694,0.13430197,0.139044666,0.104283664,0.239781604
UBR4,2.533965947,3.041207908,2.538204305,3.888048813,3.668428734,3.690743544
EMC1-AS1,108.5502134,55.58486821,108.4412913,89.98765111,70.67470489,79.27166747
EMC1,4.118808559,4.186466359,4.167508178,2.904094545,3.097459398,2.859059375
MRTO4,10.03072468,7.913562043,8.758947495,6.468073909,5.783336978,5.94102439
AKR7A3,0.823114891,1.730247814,0.94011379,1.323705223,1.216642742,1.265309082
AKR7A2,13.27252279,7.146064997,8.658178799,9.309208257,8.930745213,7.257885621
SLC66A1,2.572477798,4.325837161,2.636588675,2.685668953,2.201371454,2.721615288
CAPZB,29.46351176,36.25871358,28.60003781,37.88328811,31.65464767,35.33627001
MICOS10,12.14435835,10.65848355,11.10972609,6.0207736,8.518652741,5.765350769
AL031727.2,3.660095858,2.744811456,5.701994509,2.285168862,2.285172455,2.121946908
NBL1,2.123751283,5.293074261,1.14350882,5.130191387,5.491944284,2.957718504
HTR6,0.143552812,0.171947991,0.060117803,1.126558181,1.260377847,0.941235021
TMCO4,1.308208904,1.793944853,2.667288804,3.197094414,2.997280725,3.242702466
OTUD3,2.795069282,5.331033806,2.72079991,6.537225878,5.659535767,6.06528111
PLA2G5,0.480609356,0.382524218,0.603816353,3.948993337,9.784035609,4.08375458
PLA2G2C,0.101079906,0.094753422,0.150081841,0.236658407,0.179286953,0.304422081
UBXN10-AS1,1.782681983,1.615402272,1.269153617,1.530391029,3.246289105,1.968596123
UBXN10,0.228844828,0.22473699,0.177982708,0.242383202,0.366764632,0.332811137
VWA5B1,0.765124759,1.011258786,2.400187018,0.293001148,0.621237588,0.526434307
AL020998.1,6.881619532,3.845732558,14.96381993,1.239379794,2.71114756,1.370065533
LINC01141,0.260587257,0.297094105,0.433570954,4.281784041,6.520249426,7.575669587
