Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
NAIP,63.91449713,90.08430027,70.55224954,42.88016538,36.1868484,39.28087488
GTF2H2,53.06509458,27.7269874,41.46324865,44.84323969,38.61113073,45.74402203
LINC02197,37.48801941,16.13619759,17.70469295,18.25895624,21.22725258,4.298306597
BDP1,105.6452997,92.75472733,96.17646106,187.9821039,167.6893825,200.9850515
MCCC2,41.45805219,40.39731157,44.01424742,36.47060949,29.65311189,42.07320545
CARTPT,0.272750343,7.784010808,0.190373042,2.483407261,6.711123029,2.698207061
AC025774.1,7.333953677,2.98292385,4.340505369,8.088812222,5.972012563,3.859063587
MAP1B,549.7131642,658.5443597,517.7385263,475.1112863,747.6250183,320.8670187
MRPS27,55.3683197,38.60755726,50.33463243,42.76190789,41.95191004,40.28485891
PTCD2,18.60763454,14.80098406,22.95898892,15.42077652,16.20130141,14.71464083
ZNF366,0.545500687,1.818163108,1.827581208,1.797513827,0.443466279,0.784362518
LINC02056,3.606365651,3.636326217,5.673116666,1.277180877,0.798239303,1.78834654
AC063979.2,5.818673992,4.232910987,11.27008411,2.104983298,1.596478606,2.541334557
AC035140.1,2.424447496,1.534075123,3.04596868,1.584650348,1.95125163,2.164840549
TNPO1,184.4095377,173.4925329,152.1842102,237.1535677,218.92452,222.9785765
AC008972.2,0.272750343,0.170452791,0,0.709544932,0.620852791,0.43924301
FCHO2,69.12705924,71.33449321,51.21034843,119.3454575,110.8665699,82.29531535
TMEM171,0.212139156,1.051125547,0.266522259,0.922408411,0.709546047,0.533366512
AC116345.1,1.515279685,3.948823001,36.05665425,6.929888834,5.439853028,4.674800605
AC099522.2,3.970032776,2.38633908,3.388640156,1.277180877,1.448656513,1.537350535
BTF3,63.88419153,63.06753283,37.16081789,23.8880127,36.8077012,20.23655296
ANKRA2,19.48649675,24.23270518,13.21188915,19.60709162,18.77340583,18.16583591
UTP15,6.849064178,6.789702858,4.607027628,5.700010952,7.864135356,6.369023643
ARHGEF28,28.63878605,37.27234372,30.34546297,14.61662559,28.23401979,30.02539718
AC091868.2,0.81825103,0.426131979,0.685342953,0.165560484,0.295644186,0.407868509
LINC01331,5.606534836,3.948823001,6.053862751,2.719922239,4.996386749,3.388446076
LINC01333,0.393972718,0.312496784,0.342671476,0.118257489,0.295644186,0.345119508
ENC1,76.0670402,98.46489584,36.7419972,64.07190734,137.7997552,51.89342417
HEXB,26.06281059,23.8065732,31.8303727,25.07058759,25.48452886,30.55876369
GFM2,38.45779841,34.80077825,37.92231006,35.73741306,38.34505096,41.10059593
NSA2,64.520609,91.90246337,50.6392293,32.40255188,39.14329027,32.09611422
FAM169A,52.88326102,38.80641885,51.74339295,79.16156289,89.52105962,69.24352306
AC010501.2,0.484889499,0.823855159,0.875715995,0.331120968,0.384337442,0.470617511
AC116337.3,2.818420215,3.238603037,3.617087807,1.419089864,0.916496978,1.474601533
GCNT4,5.455006867,3.323829433,6.091937359,7.923251738,9.460613962,7.09063716
ANKRD31,6.091424335,5.141992541,5.444669015,3.784239636,3.488601398,4.4551791
AC008897.2,0.939473405,0.937490353,0.875715995,0.685893434,0.413901861,0.313745007
HMGCR,35.45754464,54.57330205,28.55595637,48.10714638,48.89954842,37.39840484
CERT1,116.0098127,112.9249743,100.8596379,114.662461,130.7338592,110.28137
AC008897.3,0.24244475,0.79544636,0,0.165560484,0.384337442,0.313745007
POLK,85.97696934,61.30618731,89.1707331,87.20307212,85.23421891,76.55378172
AC010245.1,2.212308341,1.306804734,1.599133557,1.655604841,1.773865118,2.196215049
AC010245.2,2.212308341,3.9772318,1.599133557,0.993362905,1.034754652,1.34910353
ANKDD1B,16.21349263,20.76683175,15.53444027,14.07264115,13.65876141,14.96563684
POC5,19.54710794,15.11348084,15.99133557,21.57016593,20.6359642,22.370019
SV2C,7.788537582,18.21003988,13.63070984,6.906237336,9.460613962,11.51444176
AC113404.1,1.06069578,1.960207101,2.627147986,0.898756914,0.502595117,1.725597539
IQGAP2,116.0704239,62.89708003,165.5483977,145.0782871,139.4849271,265.114531
AC026725.1,1.091001373,0.255679187,1.599133557,1.182574886,1.30083442,3.10607557
F2RL2,5.545923648,2.471565476,7.462623265,7.000843327,4.937257911,12.58117478
AC025188.1,9.24320608,5.085174944,13.78300828,7.308312797,4.907693493,18.63645342
F2R,26.63861687,30.53945846,26.57607673,11.75479437,13.98397001,8.533864192
F2RL1,1.63650206,2.215886288,2.512924161,1.466392859,2.15820256,3.325697075
S100Z,1.757724435,2.642018267,2.817521029,2.672619243,5.085080005,2.509960057
CRHBP,0.909167811,1.846571907,0.799566778,1.064317398,1.478220932,2.855079564
AGGF1,29.00245318,23.15317083,31.98267114,38.59924429,31.22002607,40.0338629
ZBED3,20.18352541,16.76119116,19.53227416,28.80752423,25.66191537,28.61354464
AC008581.1,0.515195093,0.39772318,0.533044519,0.331120968,0.295644186,0.721613516
ZBED3-AS1,53.30753933,56.47669156,77.82449977,37.06189694,36.54162143,33.31971975
PDE8B,55.64107004,84.40254055,189.4211773,224.9966979,250.6175767,271.5776781
WDR41,55.94412598,56.95964113,97.09025167,73.95823339,89.78713938,77.11852274
TBCA,175.2269428,129.5441215,157.1339093,88.95328295,118.6124475,80.50696881
AP3B1,104.7058263,109.3170569,113.2719603,88.83502546,92.86183892,80.44421981
SCAMP1-AS1,8.515871831,6.36357088,7.462623265,7.095449318,6.770251867,7.09063716
SCAMP1,70.61203334,93.01040652,60.23403064,80.15492579,102.8841768,65.98057499
LHFPL2,54.61067986,56.33464756,94.15850681,171.9936915,175.3761313,182.4427216
ARSB,44.51891715,44.03363778,40.85405492,65.58560319,70.9250403,69.99651108
DMGDH,53.24692814,38.01097249,46.64139541,47.68141942,44.22837027,31.2176282
BHMT2,14.03148989,5.937438901,12.26002394,6.717025354,4.907693493,3.325697075
BHMT,13.27385004,4.77267816,13.40226219,6.906237336,4.464227213,3.54531858
JMY,47.45855974,63.26639442,39.71181666,50.28308417,56.58629726,60.39591386
HOMER1,66.9450565,91.53314899,41.92014395,178.0721264,218.8358267,190.0039763
TENT2,149.3762714,118.606734,152.8314785,154.6098406,159.9730692,158.2529816
CMYA5,5.15195093,23.94861719,6.929578746,21.78302941,24.03587235,42.23007795
AC008496.2,1.788030029,3.920414203,2.322551118,3.760588138,3.311214887,7.874999677
AC008496.3,0,0,0,0,0,0.156872504
LINC01455,0.545500687,1.278395936,0.685342953,0.165560484,0.266079768,0.376494008
MTX3,23.03225122,28.80652175,20.67451241,17.73862329,26.16451049,19.73456094
THBS4,30.45712167,32.44284797,37.69386241,20.64775751,20.28119118,21.08366447
AC012636.1,13.24354445,22.18727168,19.60842338,7.615782268,7.923264193,11.82818677
SERINC5,156.861753,168.5494019,243.2967483,121.4504408,114.1186559,135.1927235
AC010260.1,52.33776033,41.7325251,63.6226708,28.02702481,20.07424025,31.46862421
ZFYVE16,113.0095589,122.3566954,140.8760514,194.5572203,169.6110697,185.1723032
AC008771.1,281.357132,164.1176293,350.8575173,244.911259,174.3413767,270.9188136
FAM151B,22.18369459,36.76098535,23.18743657,28.97308471,24.83411165,20.89541747
ANKRD34B,0.24244475,1.221578339,0.837641387,0.449378457,0.295644186,0.941235021
LINC01337,0.848556624,1.363622331,1.142238255,0.614938941,0.413901861,0.407868509
DHFR,15.09218567,14.88621045,16.37208165,7.59213077,9.194534194,11.48306726
MSH3,86.06788613,70.70949964,93.73968612,98.43753354,98.80428707,94.71961763
RASGRF2-AS1,0.454583906,1.022716749,0.685342953,1.300832375,0.798239303,0.941235021
RASGRF2,39.9730781,42.89728584,41.61554709,78.12089699,50.43689818,46.43426105
AC026427.1,0,0.142043993,0,0.402075461,0.147822093,0.219621505
CKMT2-AS1,73.73350949,57.21532032,80.26127471,80.50969826,73.40845146,66.608065
CKMT2,52.42867711,21.27819013,61.4143435,36.25774601,27.55403816,43.70467948
ZCCHC9,21.12299881,17.10209674,20.06531868,19.18136466,19.60120955,22.181772
ACOT12,4.09125515,18.40890147,5.55889284,3.878845627,3.636423492,4.361055598
AC010623.1,5.545923648,7.840828405,4.378579977,5.297935491,4.641613725,5.082669114
SSBP2,430.6424866,414.0582392,447.9858436,390.5335305,370.3534722,274.2445107
ATG10,84.52230085,87.69796119,95.03422281,96.07238376,104.658042,93.68425911
RPS23,490.9203124,318.888764,326.2613202,90.5379333,156.1592592,56.19173077
ATP6AP1L,44.2764724,49.54494471,49.07817035,39.75816768,34.76775631,39.12400238
