"Gene"
"ENSG00000113749.7|HRH2"
"ENSG00000177885.13|GRB2"
"ENSG00000064547.13|LPAR2"
"ENSG00000271874.1|CTD-2024P10.2"
"ENSG00000180269.7|GPR139"
"ENSG00000198824.5|CHAMP1"
"ENSG00000165476.13|REEP3"
"ENSG00000114631.10|PODXL2"
"ENSG00000262096.2|PCDHB19P"
"ENSG00000182580.2|EPHB3"
"ENSG00000044446.11|PHKA2"
"ENSG00000178694.9|NSUN3"
"ENSG00000103175.10|WFDC1"
"ENSG00000005249.12|PRKAR2B"
"ENSG00000135447.16|PPP1R1A"
"ENSG00000114739.13|ACVR2B"
"ENSG00000163166.14|IWS1"
"ENSG00000184117.11|NIPSNAP1"
"ENSG00000163170.11|BOLA3"
"ENSG00000149654.9|CDH22"
"ENSG00000119139.17|TJP2"
"ENSG00000145920.14|CPLX2"
"ENSG00000162402.13|USP24"
"ENSG00000184634.15|MED12"
"ENSG00000268119.5|CTD-2561J22.5"
"ENSG00000256894.1|RP11-283G6.3"
"ENSG00000183779.6|ZNF703"
"ENSG00000132589.15|FLOT2"
"ENSG00000146858.7|ZC3HAV1L"
"ENSG00000104490.17|NCALD"
"ENSG00000165983.14|PTER"
"ENSG00000165494.11|PCF11"
"ENSG00000172995.16|ARPP21"
"ENSG00000107331.16|ABCA2"
"ENSG00000109118.13|PHF12"
"ENSG00000123977.9|DAW1"
"ENSG00000196581.10|AJAP1"
"ENSG00000164938.13|TP53INP1"
"ENSG00000253368.3|TRNP1"
"ENSG00000130540.13|SULT4A1"
"ENSG00000128833.12|MYO5C"
"ENSG00000120907.17|ADRA1A"
"ENSG00000069943.9|PIGB"
"ENSG00000198925.10|ATG9A"
"ENSG00000165671.18|NSD1"
"ENSG00000183837.9|PNMA3"
"ENSG00000173811.10|CCDC13-AS1"
"ENSG00000064115.10|TM7SF3"
"ENSG00000056972.18|TRAF3IP2"
"ENSG00000065154.11|OAT"
"ENSG00000113448.17|PDE4D"
"ENSG00000260634.1|RP11-521O16.1"
"ENSG00000126107.14|HECTD3"
"ENSG00000015676.17|NUDCD3"
"ENSG00000259417.2|LINC01314"
"ENSG00000161509.13|GRIN2C"
"ENSG00000163568.14|AIM2"
"ENSG00000143858.11|SYT2"
"ENSG00000048991.16|R3HDM1"
"ENSG00000164627.17|KIF6"
"ENSG00000110436.11|SLC1A2"
"ENSG00000211584.13|SLC48A1"
"ENSG00000159713.10|TPPP3"
"ENSG00000006555.10|TTC22"
"ENSG00000152503.9|TRIM36"
"ENSG00000124839.12|RAB17"
"ENSG00000196878.13|LAMB3"
"ENSG00000228222.1|AC074363.1"
"ENSG00000189369.8|GSPT2"
"ENSG00000115297.10|TLX2"
"ENSG00000145248.6|SLC10A4"
"ENSG00000149305.6|HTR3B"
"ENSG00000082258.12|CCNT2"
"ENSG00000104413.15|ESRP1"
"ENSG00000118160.13|SLC8A2"
"ENSG00000164830.18|OXR1"
"ENSG00000184451.5|CCR10"
"ENSG00000074319.12|TSG101"
"ENSG00000115816.14|CEBPZ"
"ENSG00000233723.7|LINC01122"
"ENSG00000136811.16|ODF2"
"ENSG00000249306.5|LINC01411"
"ENSG00000196511.13|TPK1"
"ENSG00000168066.20|SF1"
"ENSG00000101076.16|HNF4A"
"ENSG00000173338.12|KCNK7"
"ENSG00000238178.6|RP11-431J24.2"
"ENSG00000168778.11|TCTN2"
"ENSG00000074211.13|PPP2R2C"
"ENSG00000105717.13|PBX4"
"ENSG00000128683.13|GAD1"
"ENSG00000136830.11|FAM129B"
"ENSG00000116906.11|GNPAT"
"ENSG00000117000.8|RLF"
"ENSG00000197892.12|KIF13B"
"ENSG00000082996.19|RNF13"
"ENSG00000100578.14|KIAA0586"
"ENSG00000166888.10|STAT6"
"ENSG00000198554.11|WDHD1"
"ENSG00000257621.7|PSMA3-AS1"
"ENSG00000129696.12|TTI2"
"ENSG00000168769.13|TET2"
"ENSG00000184524.5|CEND1"
"ENSG00000134443.9|GRP"
"ENSG00000089639.10|GMIP"
"ENSG00000171456.16|ASXL1"
"ENSG00000112655.15|PTK7"
"ENSG00000115561.15|CHMP3"
"ENSG00000283051.1|KB-51A8.1"
"ENSG00000137573.13|SULF1"
"ENSG00000226763.4|SRRM5"
"ENSG00000144909.7|OSBPL11"
"ENSG00000168288.12|MMADHC"
"ENSG00000253250.2|C8orf88"
"ENSG00000196497.15|IPO4"
"ENSG00000205363.5|C15orf59"
"ENSG00000143493.12|INTS7"
"ENSG00000242265.5|PEG10"
"ENSG00000247033.1|RP11-252E2.1"
"ENSG00000104660.17|LEPROTL1"
"ENSG00000166340.15|TPP1"
"ENSG00000121274.12|PAPD5"
"ENSG00000257057.2|C11orf97"
"ENSG00000162992.3|NEUROD1"
"ENSG00000248801.6|C8orf34-AS1"
"ENSG00000163914.4|RHO"
"ENSG00000186814.12|ZSCAN30"
"ENSG00000058262.9|SEC61A1"
"ENSG00000184481.16|FOXO4"
"ENSG00000177108.5|ZDHHC22"
"ENSG00000198246.7|SLC29A3"
"ENSG00000154065.16|ANKRD29"
"ENSG00000163939.18|PBRM1"
"ENSG00000008869.11|HEATR5B"
"ENSG00000198286.9|CARD11"
"ENSG00000137269.14|LRRC1"
"ENSG00000144233.9|AMMECR1L"
"ENSG00000162595.5|DIRAS3"
"ENSG00000139438.5|FAM222A"
"ENSG00000081051.7|AFP"
"ENSG00000115840.13|SLC25A12"
"ENSG00000184371.13|CSF1"
"ENSG00000189420.8|ZFP92"
"ENSG00000108439.9|PNPO"
"ENSG00000143384.12|MCL1"
"ENSG00000177542.10|SLC25A22"
"ENSG00000156990.14|RPUSD3"
"ENSG00000010278.12|CD9"
"ENSG00000224204.1|PHEX-AS1"
"ENSG00000213064.9|SFT2D2"
"ENSG00000198960.10|ARMCX6"
"ENSG00000182628.12|SKA2"
"ENSG00000180611.6|MB21D2"
"ENSG00000107317.11|PTGDS"
"ENSG00000196950.13|SLC39A10"
"ENSG00000176422.13|SPRYD4"
"ENSG00000143248.12|RGS5"
"ENSG00000180346.3|TIGD2"
"ENSG00000198792.12|TMEM184B"
"ENSG00000158578.18|ALAS2"
"ENSG00000188385.11|JAKMIP3"
"ENSG00000272741.1|RP11-447L10.1"
"ENSG00000169507.9|SLC38A11"
"ENSG00000158445.9|KCNB1"
"ENSG00000100982.11|PCIF1"
"ENSG00000102317.17|RBM3"
"ENSG00000009950.15|MLXIPL"
"ENSG00000089335.20|ZNF302"
"ENSG00000273312.2|RP11-425A6.5"
"ENSG00000107872.12|FBXL15"
"ENSG00000198081.10|ZBTB14"
"ENSG00000141338.13|ABCA8"
"ENSG00000129990.14|SYT5"
"ENSG00000152492.13|CCDC50"
"ENSG00000168509.19|HFE2"
"ENSG00000165526.8|RPUSD4"
"ENSG00000240207.6|RP11-379F4.4"
"ENSG00000133943.20|C14orf159"
"ENSG00000196576.14|PLXNB2"
"ENSG00000266588.1|RP1-56K13.5"
"ENSG00000198876.12|DCAF12"
"ENSG00000162456.9|KNCN"
"ENSG00000163818.16|LZTFL1"
"ENSG00000081019.13|RSBN1"
"ENSG00000148090.11|AUH"
"ENSG00000132840.9|BHMT2"
"ENSG00000174197.16|MGA"
"ENSG00000197635.9|DPP4"
"ENSG00000132155.11|RAF1"
"ENSG00000171126.7|KCNG3"
"ENSG00000184792.15|OSBP2"
"ENSG00000197951.8|ZNF71"
"ENSG00000129214.14|SHBG"
"ENSG00000081803.15|CADPS2"
"ENSG00000087095.12|NLK"
"ENSG00000103034.14|NDRG4"
"ENSG00000169682.17|SPNS1"
"ENSG00000184402.14|SS18L1"
"ENSG00000198598.6|MMP17"
"ENSG00000178802.17|MPI"
"ENSG00000162755.13|KLHDC9"
"ENSG00000221986.6|MYBPHL"
"ENSG00000152332.15|UHMK1"
"ENSG00000115421.12|PAPOLG"
"ENSG00000079616.12|KIF22"
"ENSG00000079841.18|RIMS1"
"ENSG00000146469.12|VIP"
"ENSG00000177627.9|C12orf54"
"ENSG00000170234.12|PWWP2A"
"ENSG00000068001.13|HYAL2"
"ENSG00000145687.16|SSBP2"
"ENSG00000184182.18|UBE2F"
"ENSG00000146360.8|GPR6"
"ENSG00000170264.12|FAM161A"
"ENSG00000122565.18|CBX3"
"ENSG00000138760.8|SCARB2"
"ENSG00000102802.9|MEDAG"
"ENSG00000117868.15|ESYT2"
"ENSG00000116128.10|BCL9"
"ENSG00000162241.12|SLC25A45"
"ENSG00000166250.11|CLMP"
"ENSG00000170464.9|DNAJC18"
"ENSG00000143469.17|SYT14"
"ENSG00000072849.10|DERL2"
"ENSG00000143067.4|ZNF697"
"ENSG00000261572.1|RP11-384L8.1"
"ENSG00000241852.9|C8orf58"
"ENSG00000149582.15|TMEM25"
"ENSG00000088320.3|REM1"
"ENSG00000065325.12|GLP2R"
"ENSG00000132561.13|MATN2"
"ENSG00000115053.15|NCL"
"ENSG00000085491.15|SLC25A24"
"ENSG00000044090.8|CUL7"
"ENSG00000180828.2|BHLHE22"
"ENSG00000069122.18|ADGRF5"
"ENSG00000123444.13|KBTBD4"
"ENSG00000153234.13|NR4A2"
"ENSG00000123091.4|RNF11"
"ENSG00000231721.6|LINC-PINT"
"ENSG00000259357.2|RP11-316M1.12"
"ENSG00000108588.13|CCDC47"
"ENSG00000110583.12|NAA40"
"ENSG00000140396.12|NCOA2"
